Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"V Caceres Chian, M Hildebrandt, T Runkler…","Learning through structure: towards deep neuromorphic knowledge graph embeddings",2021,"arXiv e …","ui.adsabs.harvard.edu","https://ui.adsabs.harvard.edu/abs/2021arXiv210910376C/abstract","",125,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,4,5,"… synthetization to social network analysis and recommender … learning architectures for knowledge graph reasoning to … neural network with shallow knowledge graph embedding models. …","","https://scholar.google.com/scholar?q=related:R0woiW0vZcMJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
20,"X Chen, J Zhou, J Wang, D Wang, J Liu, D Shi, D Yang…","Visualizing status, hotspots, and future trends in mathematical literacy research via knowledge graph",2022,"Sustainability","mdpi.com","https://www.mdpi.com/2071-1050/14/21/13842","https://scholar.google.com/scholar?cites=7801573925472929621&as_sdt=2005&sciodt=2007&hl=en",126,"2026-07-07 10:25:49","HTML","","",,,,,,20,5.00,3,8,4,"… CiteSpace is a powerful social network analysis software developed by Professor Chen … With the advent of the era of big science and big data, social network analysis has become a …","https://www.mdpi.com/2071-1050/14/21/13842","https://scholar.google.com/scholar?q=related:VYfDlCbCRGwJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
5,"P Whig, LS Sankaranarayanan","Graph data science and ML techniques: applications and future",2025,"Applied Graph Data Science","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780443296543000144","https://scholar.google.com/scholar?cites=7533092135790402233&as_sdt=2005&sciodt=2007&hl=en",127,"2026-07-07 10:25:49","","","",,,,,,5,5.00,3,2,1,"… social network analysis to fraud detection and recommendation systems. The chapter delves into key applications such as social network analysis, … of knowledge graph construction and …","","https://scholar.google.com/scholar?q=related:uVoTrmLrimgJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
3,"SR Ondraszek, G Petri, U Blumenthal…","eXtreme Design for Ontological Engineering in the Digital Humanities with Viewsari, a Knowledge Graph of Giorgio Vasari's The Lives.",2024,"SemDH …","fizweb-p.fiz-karlsruhe.de","https://fizweb-p.fiz-karlsruhe.de/sites/default/files/FIZ/Dokumente/Forschung/ISE/Publications/Conferences-Workshops/Ondraszek-SemDH2024.pdf","https://scholar.google.com/scholar?cites=7155615717512582807&as_sdt=2005&sciodt=2007&hl=en",128,"2026-07-07 10:25:49","PDF","","",,,,,,3,1.50,1,4,2,"… Despite the blatant anachronism it would constitute, it is tempting to regard these layers of comment, additions, and corrections as the inception of a demand for a knowledge graph. The …","https://fizweb-p.fiz-karlsruhe.de/sites/default/files/FIZ/Dokumente/Forschung/ISE/Publications/Conferences-Workshops/Ondraszek-SemDH2024.pdf","https://scholar.google.com/scholar?q=related:lxaKP5XaTWMJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
13,"P Yang, X Xu, M Shao, Y Liu","Intelligent prediction of flood disaster risk levels based on knowledge graph and graph neural networks",2025,"Ieee Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10824773/","https://scholar.google.com/scholar?cites=18265991805141393110&as_sdt=2005&sciodt=2007&hl=en",129,"2026-07-07 10:25:49","","","",,,,,,13,13.00,3,4,1,"… Graph neural networks have achieved remarkable results in fields such as image recognition, natural language processing, and social network analysis. In terms of disaster prediction, …","https://ieeexplore.ieee.org/iel8/6287639/6514899/10824773.pdf","https://scholar.google.com/scholar?q=related:1h6m98TWff0J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
3,"GX Li, R Li","… prospects of programming education in China from the perspective of knowledge graph: a Co-lexical analysis and social network analysis based on CNKI …",2021,"The Chinese J. ICT in Educ.","","","https://scholar.google.com/scholar?cites=10067638792583016001&as_sdt=2005&sciodt=2007&hl=en",130,"2026-07-07 10:25:49","CITATION","","",,,,,,3,0.60,2,2,5,"","","https://scholar.google.com/scholar?q=related:QW7aJiRwt4sJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"NJLĆB Savić","THE USE OF SOCIAL NETWORK ANALYSIS VISUALIZATION TOOLS IN TECHNICAL SCIENCES",,"acche.rs","","https://acche.rs/ACCHE_2025/radovi/electrical/27.pdf","",131,"2026-07-07 10:25:49","PDF","","",,,,,,0,0.00,0,1,,"… Abstract: This paper explores the application of social network analysis (SNA) visualization tools … Designed for extracting insights from highly complex data via Knowledge Graphbuilding …","https://acche.rs/ACCHE_2025/radovi/electrical/27.pdf","https://scholar.google.com/scholar?q=related:lH37u2I4aG8J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"Y Feng, Y Gong, S Zhang…","Evaluation of Characteristics of Road Network in Henan Province Base on Knowledge Graph and Spatial Syntax",2025,"2025 32nd International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11173560/","",132,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,4,1,"… [9] used the social network analysis method to analyse the accessibility of cities in Southwestern China. Chengliang Liu et al. [10] analysed the spatial accessibility of the road network …","","https://scholar.google.com/scholar?q=related:L06tHpfJIBAJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
1,"X Zhang, X Qin, J Cai","Knowledge graph of unmanned aerial vehicle reconnaissance research",2024,"Proceedings of the 3rd International Conference …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3712335.3712381","https://scholar.google.com/scholar?cites=17031965374274302777&as_sdt=2005&sciodt=2007&hl=en",133,"2026-07-07 10:25:49","","10.1145/3712335.3712381","",,,,,,1,0.50,0,3,2,"… analysis, clustering analysis, social network analysis, and multidimensional scaling analysis… and uses CiteSpace software to map the knowledge graph of the UAV reconnaissance field, …","https://dl.acm.org/doi/full/10.1145/3712335.3712381","https://scholar.google.com/scholar?q=related:OXNfyESyXewJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
14,"E Cambria, S Ji, S Pan, PS Yu","Knowledge graph representation and reasoning",2021,"Neurocomputing","Elsevier","https://www.sciencedirect.com/science/article/pii/S092523122100953X","https://scholar.google.com/scholar?cites=12837959062740094493&as_sdt=2005&sciodt=2007&hl=en",134,"2026-07-07 10:25:49","","","",,,,,,14,2.80,4,4,5,"… in Knowledge Graph Research: A Bibliometric Review on Three Decades” [12] and opens the special issue with an overview of knowledge graph … dimensions of social network analysis: …","https://drive.google.com/file/d/15Ws83m_ZZjML5CzFjKR0jf6edR4QXOAG/view","https://scholar.google.com/scholar?q=related:HU6hx7-XKbIJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
11,"H Zheng, H Dai, X Yan, Q Xiang","Study on intestinal flora and asthma: knowledge graph analysis based on citespace (2001–2021)",2023,"Journal of Asthma and Allergy","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.2147/JAA.S402883","https://scholar.google.com/scholar?cites=15468582320218423582&as_sdt=2005&sciodt=2007&hl=en",135,"2026-07-07 10:25:49","","10.2147/JAA.S402883","",,,,,,11,3.67,3,4,3,"… Compared with other software, CiteSpace software integrates cluster analysis, social network analysis, multidimensional scale analysis, and other methods, focusing on detecting and …","https://www.tandfonline.com/doi/pdf/10.2147/JAA.S402883","https://scholar.google.com/scholar?q=related:HsGBB6pxq9YJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"S Cui, Y Wen, K Dong, B An","The Topologies Exploration on the Knowledge Graph of Alarm Correlation by a Community-based Link Prediction Model",2023,"… of the 2023 International Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3627341.3630375","",136,"2026-07-07 10:25:49","","10.1145/3627341.3630375","",,,,,,0,0.00,0,4,3,"… [18] analyzed and visualized the research frontiers, representative works, and spatial and temporal distribution of literature on social network analysis (SNA) using the literature data on …","https://dl.acm.org/doi/pdf/10.1145/3627341.3630375","https://scholar.google.com/scholar?q=related:zIypvB_KXlMJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
19,"P Jiang, X Ruan, Z Feng, Y Jiang, B Xiong","Research on online collaborative problem-solving in the last 10 years: Current status, hotspots, and outlook—A knowledge graph analysis based on …",2023,"Mathematics","mdpi.com","https://www.mdpi.com/2227-7390/11/10/2353","https://scholar.google.com/scholar?cites=1213126574965334168&as_sdt=2005&sciodt=2007&hl=en",137,"2026-07-07 10:25:49","HTML","","",,,,,,19,6.33,4,5,3,"… In this study, the authors of this paper have analyzed the knowledge graph of online collaborative problem-solving research in the past 10 years through CiteSpace, looking for an …","https://www.mdpi.com/2227-7390/11/10/2353","https://scholar.google.com/scholar?q=related:mCBlSDHk1RAJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"이윤진","A Study on Research Trend Analysis Using Social Network Analysis Methods",2025,"","repository.sungshin.ac.kr","http://repository.sungshin.ac.kr/handle/2025.oak/1342","",138,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,1,1,"… knowledge graph: A structured representation of information in graph form, often used to model relationships between data points for intelligent decision-making. 6. wsns: Plural of WSN…","https://repository.sungshin.ac.kr/bitstream/2025.oak/1342/2/A%20Study%20on%20Research%20Trend%20Analysis%20Using%20Social%20Network%20Analysis%20Methods.pdf","https://scholar.google.com/scholar?q=related:1r31M-MHFjoJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
12,"H Alharbi, A Hur, H Alkahtani, HF Ahmad","Enhancing cybersecurity through autonomous knowledge graph construction by integrating heterogeneous data sources",2025,"PeerJ Computer Science","peerj.com","https://peerj.com/articles/cs-2768/","https://scholar.google.com/scholar?cites=17243565802755816360&as_sdt=2005&sciodt=2007&hl=en",139,"2026-07-07 10:25:49","HTML","","",,,,,,12,12.00,3,4,1,"… some security tools that are high-quality, well maintained, but less famous, this method examines node attribute information, different types of relationships, and social network analysis. …","https://peerj.com/articles/cs-2768/","https://scholar.google.com/scholar?q=related:qHtVvrxzTe8J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
25,"C Xiong, J Xiao, Z Li, G Zhao, W Xiao","Knowledge graph network-driven process reasoning for laser metal additive manufacturing based on relation mining",2024,"Applied Intelligence","Springer","https://link.springer.com/article/10.1007/s10489-024-05757-8","https://scholar.google.com/scholar?cites=8969040224025475153&as_sdt=2005&sciodt=2007&hl=en",140,"2026-07-07 10:25:49","","10.1007/s10489-024-05757-8","",,,,,,25,12.50,5,5,2,"… knowledge graph has proven to be highly flexible and effective in structuring design and process information, with extensive applications in social network analysis … AM knowledge graph…","https://www.researchgate.net/profile/Jinhua-Xiao/publication/383231180_Knowledge_graph_network-driven_process_reasoning_for_laser_metal_additive_manufacturing_based_on_relation_mining/links/66c8d7b3920e05672e491207/Knowledge-graph-network-driven-process-reasoning-for-laser-metal-additive-manufacturing-based-on-relation-mining.pdf","https://scholar.google.com/scholar?q=related:UXg6UZBueHwJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"K Jia, Y Zhao","Identification of key core technologies of new energy vehicles based on knowledge graph",2026,"Mitigation and Adaptation Strategies for Global Change","Springer","https://link.springer.com/article/10.1007/s11027-026-10300-w","",141,"2026-07-07 10:25:49","","10.1007/s11027-026-10300-w","",,,,,,0,0.00,0,2,1,"… Their analysis employs the LDA (Latent Dirichlet Allocation) topic model, social network analysis, and econometric methodologies. Lu and Sun (Lu and Sun 2023) examine the …","","https://scholar.google.com/scholar?q=related:AUyrGmHclYoJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
15,"L Huang, J Zhou, D Wang, F Wang, J Liu, D Shi…","Visualization analysis of global self-regulated learning status, hotspots, and future trends based on knowledge graph",2023,"Sustainability","mdpi.com","https://www.mdpi.com/2071-1050/15/3/2798","https://scholar.google.com/scholar?cites=4523515806003612374&as_sdt=2005&sciodt=2007&hl=en",142,"2026-07-07 10:25:49","HTML","","",,,,,,15,5.00,2,7,3,"… It is remarkably powerful social network analysis software. When running CiteSpace, we found that two metrics are important, namely, the Modularity Q value and the Silhouette value, …","https://www.mdpi.com/2071-1050/15/3/2798","https://scholar.google.com/scholar?q=related:1sq1sKjBxj4J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
13,"D Zhu","PRGNN: Modeling high-order proximity with relational graph neural network for knowledge graph completion",2024,"Neurocomputing","Elsevier","https://www.sciencedirect.com/science/article/pii/S0925231224006283","https://scholar.google.com/scholar?cites=12762495320248891871&as_sdt=2005&sciodt=2007&hl=en",143,"2026-07-07 10:25:49","","","",,,,,,13,6.50,13,1,2,"Relational Graph Neural Networks (RGNNs) are designed to extract structural information from relational graphs and have garnered attention in the domain of Knowledge Graph …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4466295","https://scholar.google.com/scholar?q=related:3zkFC-B9HbEJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
